Itr,AverageEvalReward,StdEvalReward,MinEvalReward,MaxEvalReward,AverageTrainReward,StdTrainReward,MinTrainReward,MaxTrainReward,EvalEpLen,TrainEpLen,TotalEnvInteracts,Time,Training loss,Entropy,KL Divergence,Search Direction,Step Size,BackTrack Itr,Improve,Baseline loss
0,-213.6307,79.942856,-298.7307,-87.700516,-87.87409,65.689995,-249.9921,48.71353,96.4,65.09677419354838,2018,0.02945269743601481,-0.006644965,1.3670801,0.0059213517,2.7766702e-05,0.71217805,0,0.02720882,0.741683
1,-477.07462,102.470825,-599.49365,-348.82288,-79.42091,34.643913,-153.5609,47.81613,103.8,66.3225806451613,4074,0.039519031842549644,0.027434511,1.3032223,0.0056738076,-1.4332313e-05,0.79322743,0,0.024731163,0.86988586
2,-471.4002,98.68145,-539.1376,-278.14325,-75.84794,53.677567,-264.53412,-16.57499,83.0,75.03703703703704,6100,0.04845314423243205,-0.020182759,1.2501982,0.004499067,1.687378e-05,0.5685318,0,0.034450877,0.66222274
3,-417.565,290.9018,-673.37823,-54.6735,-87.51197,61.471546,-237.68588,-29.656357,87.8,77.92592592592592,8204,0.05775319337844849,-0.006830089,1.1717814,0.0049461443,-5.173303e-05,0.8193472,0,0.022786267,0.6207521
4,-255.71762,203.01738,-480.85568,-12.110718,-94.03435,109.119896,-285.39606,25.988731,89.2,88.08695652173913,10230,0.06777396202087402,0.023522982,1.1219476,0.0028495472,9.7602344e-05,0.4232881,0,0.059271537,0.72585034
5,-131.80386,128.48656,-351.66443,4.980934,-51.68978,92.02808,-320.65125,44.265076,91.4,90.1304347826087,12303,0.07771248817443847,-0.040446494,1.0851862,0.0068089734,8.372534e-05,0.7183422,0,0.028304074,0.7050136
6,-124.034,135.67296,-370.50162,6.9702835,1.7747976,41.86029,-43.032986,124.81909,122.8,185.0,14338,0.10064798593521118,-0.09217083,1.1989198,0.007010748,8.9015586e-05,0.6897824,0,0.02910383,0.83751905
7,-49.34214,134.77228,-293.4052,112.684555,-31.101328,29.606192,-102.7713,23.617577,305.6,97.66666666666667,16389,0.13009703954060872,0.0045961784,1.1305745,0.005288519,2.2788158e-06,0.62295413,0,0.02984419,0.4039643
8,-151.36447,140.96567,-400.16312,6.9286003,-15.921262,20.655275,-45.33156,27.5037,132.2,95.95238095238095,18404,0.1421529213587443,-0.10044706,0.9543278,0.005729736,-3.1243948e-05,1.0990218,0,0.015769407,0.22977969
9,-199.1229,123.59962,-377.5116,-30.250755,-18.462605,71.85353,-108.622055,140.32494,114.4,314.42857142857144,20605,0.16368982394536336,0.025362935,0.976504,0.0061696605,-5.3665855e-05,0.6026404,0,0.03325449,0.9286913
10,-194.84042,129.665,-397.88956,-45.648758,-98.61318,153.84105,-406.42798,145.03401,118.0,229.45454545454547,23129,0.1856045087178548,0.031164292,0.8625243,0.0052300356,-1.5147194e-05,0.6106772,0,0.029583493,0.69979095
11,-188.29129,147.95827,-409.1983,-10.449448,-24.202513,101.22359,-269.31036,199.40384,129.8,176.15384615384616,25419,0.20503647327423097,0.019084891,0.89758056,0.005269463,-3.2934822e-05,0.81995815,0,0.024672862,0.7622422
12,-66.63263,164.64124,-205.73894,251.89828,86.088135,127.54366,-55.40403,293.29523,159.8,259.44444444444446,27754,0.22575351397196453,0.0060558985,0.80618995,0.0056282007,-1.4515321e-05,0.6346176,0,0.02954202,0.9463503
13,-39.37986,50.41833,-115.24336,7.5658646,37.11519,176.60135,-289.35107,303.5944,144.8,184.8181818181818,29787,0.24216988881429036,0.014155585,0.81903845,0.0058245882,3.3649812e-05,0.88516015,0,0.021781532,0.81607795
14,-140.06784,131.0776,-315.9403,66.80475,20.026608,85.25844,-82.98068,305.9203,107.0,135.0,31812,0.25411763191223147,-0.02605769,0.9689438,0.007545918,2.7966029e-05,0.79074115,0,0.027029376,0.72098136
15,-107.42444,96.02543,-233.22224,-0.031204224,48.30537,99.93266,-17.666306,307.51978,111.8,130.0,33892,0.26814818382263184,0.030504664,0.7933517,0.0058716475,9.5413096e-05,0.61410236,0,0.03146439,0.53352636
16,-67.717995,55.44238,-175.15352,-22.675941,34.00892,100.8519,-48.426037,293.1806,93.6,126.5625,35917,0.27935949961344403,-0.07253527,0.8146824,0.005597837,5.815283e-05,0.5724482,0,0.035403155,0.5532563
17,-74.44277,46.473015,-114.95324,13.992573,10.515524,23.148926,-22.618393,65.8642,110.8,112.72222222222223,37946,0.2897151271502177,0.045360547,0.93127316,0.006076353,-3.456866e-05,0.6938781,0,0.027612286,0.330954
18,-71.84269,14.659703,-88.00543,-46.34653,46.157326,100.72313,-26.866814,278.2119,104.2,158.07692307692307,40001,0.3016482353210449,-0.04800042,0.7548783,0.0047307415,-4.9624655e-06,0.7617447,0,0.023089495,0.5763976
19,-44.78883,41.98574,-116.6611,4.0796986,178.42058,84.17999,26.059422,281.21057,312.6,535.4,42678,0.3333750605583191,0.038302235,0.8109428,0.007495831,1.2223378e-05,0.7221301,0,0.028863134,0.9324704
20,21.97276,133.7366,-107.79207,274.8022,128.62355,150.15024,-42.16784,305.49762,169.6,352.1666666666667,44791,0.3542159914970398,-0.046105485,0.7004762,0.008512252,-3.5792655e-05,0.8531681,0,0.028621893,0.96554273
21,13.774017,17.267467,-3.8781815,42.483612,43.28632,101.043106,-42.12335,264.42493,113.8,379.3333333333333,47067,0.3750776211420695,-0.05559263,0.90105665,0.0067531,3.713447e-05,0.56923,0,0.03575037,0.75648487
22,118.57057,114.16244,10.354345,258.62152,260.1635,6.447849,254.03769,270.84726,245.8,635.25,49608,0.4009015123049418,-0.0075312243,0.595109,0.006922258,5.345053e-05,0.5041399,0,0.08337311,0.88980526
23,23.01438,15.090393,5.4136353,49.468224,237.28845,83.88131,50.00328,282.21265,167.6,333.5,51609,0.42144775390625,0.0038340497,0.6449299,0.0072892583,1.2683136e-05,1.0536778,0,0.020394748,0.8002704
24,93.78235,107.46312,-3.9934254,279.40887,105.1625,187.96306,-204.32367,284.48822,396.0,344.0,53673,0.4562376976013184,0.095030285,0.759644,0.0073953364,5.2602907e-05,0.37732676,0,0.05053175,0.70145017
25,-25.936493,48.577114,-119.26219,21.228628,282.90884,6.8287673,277.25146,295.66605,134.8,326.0,55955,0.47191242774327596,-0.03158921,0.656765,0.00542853,-4.669948e-06,1.3019706,0,0.015425835,0.9773947
26,19.049845,138.9481,-70.61401,293.3122,246.85716,108.45248,-17.793552,305.9397,176.6,327.57142857142856,58248,0.49007510344187416,-0.08263762,0.6588373,0.0063569043,-1.0617346e-06,0.7823308,0,0.022304289,0.8507733
27,36.94403,128.44826,-54.175423,290.61703,206.04665,109.47872,39.331306,293.943,180.0,232.33333333333334,60339,0.5066614468892415,-0.024858011,0.6120925,0.00715129,6.9558024e-05,0.559314,0,0.035300024,1.0074356
28,-28.479553,65.01979,-104.0234,63.633415,205.59877,110.22339,47.81707,292.85962,150.6,248.55555555555554,62576,0.5221404830614725,0.057783045,0.566926,0.006739349,5.648055e-05,0.6587721,0,0.026161741,0.9573741
29,7.949919,99.67737,-99.21221,196.33829,219.231,96.7694,51.819332,294.05994,216.6,265.625,64701,0.5410222053527832,0.021917576,0.6668971,0.0062207393,-1.0057228e-05,1.191593,0,0.016294304,0.9730856
30,-45.985634,47.490456,-131.87158,0.30025864,223.62256,92.14935,43.644295,294.1287,210.0,261.25,66791,0.5593940337498983,-0.007852518,0.6965349,0.0069050393,-8.9805445e-07,0.7331624,0,0.027411453,0.96290904
31,-107.0647,69.228386,-204.61678,-15.686882,135.61049,120.496605,6.7928085,296.0921,217.8,205.6,68847,0.5782169818878173,-0.05373577,0.6648152,0.005122234,-3.2734155e-05,1.0424259,0,0.019419387,0.9035345
32,-80.64348,192.45403,-196.92299,302.88538,124.46782,100.09051,51.374344,298.85458,170.4,199.36363636363637,71040,0.5951750953992208,-0.11118992,0.74831814,0.0053557474,-3.9179413e-05,0.51679945,0,0.03539987,0.86893415
33,-56.589325,69.105225,-135.58534,58.738457,126.422,111.32338,30.269075,299.00195,280.0,209.0,73130,0.6179221034049988,-0.042747047,0.79120815,0.005133221,1.6003882e-05,1.1393231,0,0.016978476,0.8420201
34,11.735593,142.58723,-107.484406,207.26137,175.82043,123.214516,-6.47258,304.33466,252.2,267.0,75533,0.6434828082720438,0.008022365,0.5637275,0.004984891,-5.38356e-06,0.28126517,0,0.042568836,0.94298446
35,-72.72005,29.2463,-115.33628,-45.98247,149.75931,139.94098,-4.968155,296.90753,232.8,284.375,77808,0.6655156493186951,0.027440177,0.7724217,0.007823759,-1.6978733e-05,0.77185184,0,0.023660999,0.7197533
36,36.347347,141.76596,-82.41664,311.82996,171.56241,107.890495,12.90686,300.63226,263.2,534.5,79946,0.6962201913197835,-0.030421853,0.6760913,0.0055849617,-7.891638e-06,0.35081837,0,0.10703102,0.8133328
37,72.445885,141.6135,-56.311127,289.62027,281.1773,8.190741,269.76343,294.0604,352.8,354.5,82073,0.7303037881851197,0.08660905,0.67396843,0.005829955,2.5218804e-05,1.3901993,0,0.013723418,0.8332785
38,42.692757,120.16532,-93.98698,219.49146,193.25343,115.95007,61.58033,302.06723,816.2,240.0,84233,0.8176448305447896,-0.04511351,0.58743346,0.0048172334,-5.4953813e-05,1.2750473,0,0.012657907,0.8344975
39,25.341007,62.262215,-42.00661,130.73355,-25.094635,15.220421,-40.315056,-9.874214,377.6,1000.0,86233,0.8700424710909526,-0.047733292,0.92176586,0.0073732743,1.6848793e-05,0.868989,0,0.023177095,0.4794409
40,23.696314,126.66623,-56.156216,275.8663,-20.265366,7.2317657,-27.497131,-13.0336,401.6,1000.0,88233,0.9250867525736491,-0.028213613,0.9672966,0.00648954,7.914301e-05,0.8604556,0,0.024096966,0.22825782
41,-36.43731,39.12599,-71.52979,32.95609,-24.155483,11.912128,-36.06761,-12.243355,684.8,1000.0,90233,1.0229242205619813,0.03261321,0.91674817,0.0062295287,-8.836688e-05,0.75637853,0,0.060426302,0.15742636
42,-40.371567,23.843214,-76.3078,-9.081528,-32.488777,16.665344,-49.15412,-15.823433,841.6,1000.0,92233,1.1215785106023153,-0.025674863,0.9991093,0.006801253,8.121142e-06,0.7684613,0,0.02617372,0.23349594
43,51.53371,110.03466,-45.886734,243.9945,-18.72651,3.7548141,-22.481323,-14.971695,750.0,1000.0,94233,1.2114825328191121,-0.1331179,1.0730305,0.0070888284,2.6309843e-05,0.71582735,0,0.029187307,0.16348788
44,-23.859182,127.388535,-206.31674,188.9527,-10.02243,8.623795,-18.646225,-1.3986359,436.4,1000.0,96233,1.2739006797472636,-0.070875265,0.9703886,0.0055130445,-2.3548473e-05,0.8780018,0,0.021168545,0.19199073
45,52.549633,134.66464,-89.68895,215.83662,71.817535,118.43051,-14.930992,239.26717,249.2,833.0,98732,1.3107046087582905,0.011120814,0.9386813,0.0067812353,-4.4685083e-05,1.0720632,0,0.01865571,0.35334048
46,142.79074,146.87567,-101.76279,269.82758,-13.977955,2.9789772,-16.956932,-10.998978,332.0,1000.0,100732,1.3536245981852213,-0.038303416,1.0024648,0.007067995,6.438934e-05,0.75442576,0,0.023971066,0.20751283
47,46.485954,145.47081,-85.75474,233.05148,164.0743,131.05443,5.3857117,281.03516,197.6,310.7142857142857,102907,1.3735229651133218,-0.039079715,0.7456728,0.0049083293,4.0047216e-05,0.43486884,0,0.029908422,0.88979137
48,140.85918,135.50789,-45.57152,262.8025,192.9222,118.88541,23.098335,287.3042,386.8,348.6666666666667,104999,1.4093015472094217,-0.078067385,0.7750045,0.0066750287,2.1942276e-05,1.0350635,0,0.01953049,0.8146147
49,52.405163,117.409836,-64.81667,255.74002,125.27001,114.26244,39.06521,288.73383,338.2,345.8333333333333,107074,1.4489598751068116,-0.010949445,0.7386511,0.005867716,2.9399778e-05,1.2117013,0,0.016985148,0.5736442
50,27.338924,127.00213,-60.80447,279.52405,203.77141,106.7417,37.56423,290.57947,194.2,308.2857142857143,109232,1.4685944437980651,0.07522784,0.79366314,0.0061596865,4.495512e-05,1.0801697,0,0.018951163,0.82631665
51,45.752136,126.49735,-40.566734,294.32666,279.0014,35.541817,192.14328,296.29242,193.6,314.0,111430,1.4910753965377808,-0.047120884,0.6019834,0.007727783,2.3109624e-06,0.7392781,0,0.024160184,0.8992122
52,26.84013,134.72433,-56.69684,295.46295,209.13486,101.12869,50.802773,293.50696,165.0,402.8,113444,1.5140817443529764,-0.028501954,0.72087413,0.0064744363,1.9879877e-05,0.997699,0,0.017984767,0.6365769
53,16.654257,124.605865,-51.15963,265.79636,224.89435,99.52268,47.803627,296.58386,174.0,378.0,115712,1.5392677426338195,-0.042573597,0.65980995,0.0046433797,6.056953e-05,0.49498978,0,0.026306797,0.59041244
54,259.33466,16.146286,246.12398,282.75397,290.2425,9.133536,276.46252,301.53015,300.0,269.5,117868,1.5636217157046,-0.010821609,0.69222,0.0069452366,-2.2417419e-06,0.7757627,0,0.024108885,0.82111585
55,142.07489,121.45611,-28.89267,258.8468,281.32993,21.135288,236.2026,299.60318,236.6,302.57142857142856,119986,1.5863330721855164,-0.010410475,0.71484435,0.0073003373,7.310006e-06,0.72224045,0,0.022643404,0.88923997
56,174.70328,114.867775,-47.300144,264.15308,274.3172,15.325788,242.81651,297.0421,352.2,318.14285714285717,122213,1.621850856145223,-0.05507226,0.7098027,0.006039564,8.18814e-06,0.8520175,0,0.027587477,0.77258575
57,197.30702,148.75626,-98.23494,289.9883,284.4127,7.81995,270.61786,293.07654,306.0,291.7142857142857,124255,1.6465503931045533,0.024792708,0.67647606,0.007973928,1.3711511e-05,1.3489001,0,0.014451062,0.59255636
58,60.907204,133.93344,-58.421005,262.00308,160.35805,141.51988,-29.735413,301.03622,247.4,373.8333333333333,126498,1.6765624403953552,0.09627281,0.6461932,0.008529775,-1.1961494e-05,0.6099108,0,0.033939153,0.7599766
59,40.176353,79.211266,-28.43982,186.2363,288.33426,6.753129,273.35883,296.12408,565.0,287.125,128795,1.725689454873403,0.008234522,0.6662784,0.0052825813,3.3075572e-05,0.50989455,0,0.035349894,0.72063446
60,59.340614,137.64029,-82.32056,249.64505,287.87427,10.673237,263.85312,297.79117,273.4,274.375,130990,1.7488050580024719,-0.021132473,0.7179631,0.0073494194,3.883282e-05,0.6537603,0,0.03160545,0.619283
61,-3.5094802,109.60677,-82.57897,213.8206,280.87152,9.253699,262.28967,293.92294,190.4,276.625,133203,1.7648203730583192,0.038257208,0.70073956,0.0071599972,-3.6630831e-06,0.6322989,0,0.03575388,0.61283135
62,1.7263191,126.028206,-92.40024,250.8873,289.88812,9.110338,276.90463,302.1466,201.2,249.55555555555554,135449,1.7817379275957743,-0.010711357,0.57275003,0.005743905,2.8030587e-05,0.8933355,0,0.022099894,0.67328566
63,63.495594,152.43614,-64.37898,296.026,290.11258,5.297869,281.6164,296.76614,230.0,265.5,137573,1.8009444713592528,0.026971418,0.6164596,0.008685178,-5.361883e-06,0.82025635,0,0.02474195,0.5332633
64,171.27246,86.40563,52.76277,282.96924,295.6793,2.7175944,290.66537,298.94186,356.6,268.375,139720,1.829070520401001,-0.0027667235,0.6666944,0.0050529004,1.4728807e-05,0.8270583,0,0.02297758,0.51030135
65,53.11917,140.8204,-81.26258,231.74117,286.34186,4.48467,278.32977,291.86957,252.6,259.0,141792,1.8503414710362753,-0.044052448,0.6197845,0.0067123314,-1.0086657e-05,1.2172059,0,0.014633387,0.43642017
66,61.546886,155.66966,-114.43704,252.60312,276.24625,35.31042,192.66016,298.65625,325.4,291.57142857142856,143833,1.8772754033406576,-0.0788651,0.5636778,0.008295957,1.6660855e-05,0.8699095,0,0.02427812,0.75722945
67,23.500217,116.25661,-43.07162,254.97855,282.19562,10.17069,261.05322,295.47742,191.2,291.2857142857143,145872,1.8944874048233031,-0.028283043,0.66983736,0.007274854,-7.5368376e-07,0.7584347,0,0.036723636,0.47815818
68,11.981707,91.63756,-69.696594,187.44608,287.4899,10.764026,265.16254,296.75305,279.0,266.125,148001,1.9163500467936199,-0.03318373,0.6163983,0.00582348,4.6719492e-06,1.0969994,0,0.01827982,0.5799059
69,119.65309,138.78287,-54.734657,258.92038,291.7703,2.8279903,288.07224,295.82523,255.0,281.625,150254,1.936746641000112,0.009260007,0.62000364,0.0070656487,1.944943e-05,0.8633113,0,0.02351062,0.4028814
70,161.79794,143.46495,-123.89454,253.12778,288.2741,6.029947,274.79114,295.453,348.6,270.0,152414,1.9639650106430053,-0.017144674,0.59482265,0.006526465,-2.7131164e-05,0.9190252,0,0.023825144,0.47918186
71,148.13586,86.35428,-11.337875,226.13763,276.33344,5.024824,266.55237,282.537,380.2,269.0,154566,1.9946080168088278,-0.02377218,0.5953806,0.006738854,2.20963e-05,0.7877152,0,0.021274023,0.3786168
72,84.53169,118.69425,-59.485466,234.31775,239.99893,75.69625,40.689796,279.09055,273.4,263.5,156674,2.018232595920563,0.006739802,0.57422346,0.008463125,8.651747e-05,0.46531534,0,0.037329707,1.0435294
73,54.72535,98.022835,-19.317505,248.35745,254.98521,7.60914,248.13162,268.30127,214.8,329.2857142857143,158979,2.038831309477488,0.043872137,0.60100704,0.009144915,1.715339e-05,0.6949476,0,0.030207638,0.80991715
